-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,40,41,41,57,33,56,33,56,56,57,56,49,48,41,57,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,56,56,41,33,49,-1,-1
-1,-1,56,56,57,57,48,56,41,57,49,48,56,48,40,33,57,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,33,32,48,49,56,-1,-1
-1,-1,48,32,-1,-1,-1,-1,-1,-1,33,49,56,40,41,57,32,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,49,32,41,40,41,-1,-1
-1,-1,33,48,-1,-1,-1,-1,-1,-1,57,49,57,32,49,41,48,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,57,48,41,57,32,-1,-1
-1,-1,32,57,-1,-1,-1,-1,-1,-1,57,56,57,32,41,41,48,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,33,40,41,41,49,-1,-1
-1,-1,32,48,56,40,57,41,57,40,57,56,32,32,33,33,49,33,40,56,40,48,49,33,41,49,33,49,41,41,40,49,32,-1,-1
-1,-1,33,32,48,41,41,49,48,40,41,33,48,40,56,49,32,32,57,40,56,56,57,41,56,40,57,32,57,56,56,41,49,-1,-1
-1,-1,40,32,49,56,33,49,56,32,49,40,48,56,49,41,49,32,32,33,32,48,57,-1,-1,-1,-1,-1,33,32,49,32,49,-1,-1
-1,-1,33,56,57,32,32,40,56,33,40,-1,-1,-1,-1,57,56,48,57,32,32,49,48,-1,-1,-1,-1,-1,48,33,56,49,49,-1,-1
-1,-1,33,56,32,33,49,49,41,49,56,-1,-1,-1,-1,32,40,32,56,32,48,33,49,-1,-1,-1,-1,-1,32,49,33,49,57,-1,-1
-1,-1,41,40,41,32,56,40,41,48,32,-1,-1,-1,-1,33,41,49,40,56,40,48,56,41,40,56,56,40,32,56,49,32,40,-1,-1
-1,-1,32,41,33,56,49,48,57,48,49,-1,-1,-1,-1,56,32,40,33,33,32,49,49,48,40,41,33,48,56,56,57,33,33,-1,-1
-1,-1,57,56,32,41,49,41,40,33,41,-1,-1,-1,-1,32,48,56,41,48,56,40,32,57,49,40,40,33,48,41,48,40,41,-1,-1
-1,-1,41,40,40,56,57,41,48,56,49,-1,-1,-1,-1,40,57,41,41,56,41,32,33,56,57,49,32,33,57,40,57,40,57,-1,-1
-1,-1,56,56,48,56,49,57,32,32,32,48,49,48,57,48,40,32,49,33,48,33,41,32,33,48,56,56,40,56,32,56,40,-1,-1
-1,-1,49,41,48,40,32,41,48,41,57,32,32,32,41,56,57,57,40,40,32,56,32,41,48,40,41,57,41,33,49,33,48,-1,-1
-1,-1,57,49,40,40,41,57,56,41,49,41,56,41,48,41,57,41,49,48,41,40,56,49,56,41,40,33,33,48,48,32,48,-1,-1
-1,-1,33,48,33,56,32,32,57,33,49,40,57,48,49,40,48,41,32,49,41,32,57,48,48,56,56,33,57,56,49,32,40,-1,-1
-1,-1,57,33,32,56,41,57,56,32,48,41,56,40,-1,-1,-1,-1,-1,40,33,40,41,49,32,33,33,49,41,33,48,32,57,-1,-1
-1,-1,57,40,41,40,57,32,40,40,48,48,56,56,-1,-1,-1,-1,-1,41,33,57,48,40,56,56,40,57,32,48,57,32,57,-1,-1
-1,-1,56,33,32,40,49,33,40,48,48,56,32,56,-1,-1,-1,-1,-1,40,33,41,57,48,40,57,33,48,33,57,56,56,32,-1,-1
-1,-1,40,32,48,48,49,40,56,56,41,33,56,33,49,49,56,33,41,41,49,33,56,32,-1,-1,-1,-1,-1,40,33,41,48,-1,-1
-1,-1,57,57,57,40,56,48,57,49,48,41,57,57,32,33,33,33,40,57,40,41,40,41,-1,-1,-1,-1,-1,40,49,33,40,-1,-1
-1,-1,33,57,32,41,48,57,57,57,40,48,32,48,49,40,56,41,41,33,48,49,49,49,-1,-1,-1,-1,-1,33,40,33,57,-1,-1
-1,-1,56,48,56,40,41,57,56,57,48,40,41,49,56,40,33,48,56,40,40,40,40,57,-1,-1,-1,-1,-1,32,56,49,57,-1,-1
-1,-1,41,56,56,40,49,32,48,48,32,-1,-1,-1,48,57,32,49,49,48,41,49,41,40,-1,-1,-1,-1,-1,33,57,48,56,-1,-1
-1,-1,49,56,49,48,32,56,57,57,57,-1,-1,-1,57,49,40,33,41,41,57,56,48,40,-1,-1,-1,-1,-1,41,57,41,48,-1,-1
-1,-1,41,32,41,49,56,33,32,40,32,-1,-1,-1,48,48,32,48,41,41,40,48,40,49,-1,-1,-1,-1,-1,41,41,56,49,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
